likeType,relationId,count,liked
GOODS,5275962,4772,False
GOODS,1760177,18143,False
GOODS,5384864,2155,False
GOODS,5290700,1621,False
GOODS,5384863,1024,False
GOODS,3783694,6419,False
GOODS,709191,9086,False
GOODS,4702387,8358,False
GOODS,5290694,1484,False
GOODS,4327239,4207,False
GOODS,5384865,733,False
GOODS,2098325,37640,False
GOODS,5290721,1302,False
GOODS,4702365,2805,False
GOODS,5358816,611,False
GOODS,4073506,9005,False
GOODS,4990661,14432,False
GOODS,4702360,3763,False
GOODS,3840002,4047,False
GOODS,4702385,2908,False
GOODS,2119984,44050,False
GOODS,4702333,2514,False
GOODS,3489530,9121,False
GOODS,5384868,722,False
GOODS,3783677,12758,False
GOODS,3438294,3370,False
GOODS,3438295,2372,False
GOODS,3489623,16594,False
GOODS,3274287,10560,False
GOODS,4327331,3901,False
GOODS,4702388,2843,False
GOODS,5363204,445,False
GOODS,3783687,5209,False
GOODS,4327248,1932,False
GOODS,5290699,340,False
GOODS,4995109,7949,False
GOODS,5385029,1084,False
GOODS,4041033,4701,False
GOODS,5358732,422,False
GOODS,3052416,10913,False
GOODS,3840003,3259,False
GOODS,5358822,584,False
GOODS,4730935,728,False
GOODS,4305404,7913,False
GOODS,5384937,344,False
GOODS,5358823,335,False
GOODS,3489531,4585,False
GOODS,5358821,448,False
GOODS,5385028,521,False
GOODS,5384933,397,False
GOODS,4730912,1535,False
GOODS,3154647,12329,False
GOODS,3274288,5326,False
GOODS,5384938,195,False
GOODS,4730921,2271,False
GOODS,5384981,398,False
GOODS,4702356,1120,False
GOODS,2139143,12673,False
GOODS,5358778,417,False
GOODS,4108579,9531,False
GOODS,5384979,278,False
GOODS,5358780,247,False
GOODS,5363206,340,False
GOODS,5358820,338,False
GOODS,5384980,237,False
GOODS,2422235,11847,False
GOODS,1456515,35214,False
GOODS,2367276,9504,False
GOODS,4994883,2292,False
GOODS,5384866,164,False
GOODS,3783686,4183,False
GOODS,4990664,4540,False
GOODS,2422238,9121,False
GOODS,5384983,329,False
GOODS,4702371,1495,False
GOODS,2510196,18225,False
GOODS,3438298,1772,False
GOODS,5358818,268,False
GOODS,4702320,837,False
GOODS,2139132,11877,False
GOODS,407074,4135,False
GOODS,3783678,5088,False
GOODS,4995108,6683,False
GOODS,5358779,353,False
GOODS,5290720,246,False
GOODS,2480238,7844,False
GOODS,4732776,1610,False
GOODS,3479101,3660,False
GOODS,4907283,920,False
GOODS,2315115,6179,False
GOODS,4305674,1936,False
GOODS,5384869,253,False
GOODS,5358777,327,False
GOODS,5375943,359,False
GOODS,5358731,301,False
GOODS,1145196,8589,False
GOODS,4424996,3220,False
GOODS,2226767,45596,False
GOODS,4041025,1744,False
GOODS,3347011,3173,False
GOODS,655610,29586,False
GOODS,5016476,3602,False
GOODS,5384974,346,False
GOODS,3347008,2921,False
GOODS,4327323,1374,False
GOODS,4994881,1452,False
GOODS,4058364,3076,False
GOODS,3037099,2748,False
GOODS,3783548,2354,False
GOODS,3489529,3796,False
GOODS,885715,17014,False
GOODS,4740184,1356,False
GOODS,5146274,1918,False
GOODS,1333422,2621,False
GOODS,4730918,620,False
GOODS,5358776,263,False
GOODS,407067,30735,False
GOODS,3489528,2388,False
GOODS,4995039,1120,False
GOODS,2570743,11117,False
GOODS,3305119,1641,False
GOODS,1151850,8072,False
GOODS,5358698,271,False
GOODS,5220312,716,False
GOODS,3154688,2752,False
GOODS,4327328,1530,False
GOODS,4732773,1340,False
GOODS,5358817,207,False
GOODS,4702317,1013,False
GOODS,3830004,2797,False
GOODS,4730993,1141,False
GOODS,1760178,3975,False
GOODS,3175726,2129,False
GOODS,5384941,124,False
GOODS,4740179,1569,False
GOODS,2119985,3598,False
GOODS,4301108,1467,False
GOODS,5385024,94,False
GOODS,5364425,284,False
GOODS,538279,9912,False
GOODS,4108580,2715,False
GOODS,2818896,7394,False
GOODS,1928038,12889,False
GOODS,3489625,4445,False
GOODS,1217305,8861,False
GOODS,2139133,30440,False
GOODS,5384975,178,False
GOODS,4330047,2728,False
GOODS,4739882,1042,False
GOODS,3154648,6106,False
GOODS,1120482,4668,False
GOODS,4058365,1265,False
GOODS,3154714,4394,False
GOODS,1958904,8807,False
GOODS,3331687,3137,False
GOODS,3154711,3052,False
GOODS,3783695,2024,False
GOODS,1305385,8116,False
GOODS,4730932,636,False
GOODS,4327191,1961,False
GOODS,4739972,1307,False
GOODS,5220310,300,False
GOODS,3175768,2952,False
GOODS,4702321,583,False
GOODS,4301121,616,False
GOODS,2120465,2190,False
GOODS,2480138,7848,False
GOODS,5068733,1147,False
GOODS,5385026,100,False
GOODS,3154716,4516,False
GOODS,4305401,1672,False
GOODS,4995116,3472,False
GOODS,3037101,4431,False
GOODS,3052053,4000,False
GOODS,5384939,104,False
GOODS,968414,6543,False
GOODS,4594145,347,False
GOODS,3830002,1705,False
GOODS,2799746,4516,False
GOODS,709192,6640,False
GOODS,538280,5190,False
GOODS,5358696,226,False
GOODS,3154649,5306,False
GOODS,5358697,223,False
GOODS,2825493,5289,False
GOODS,1928032,3338,False
GOODS,4305659,672,False
GOODS,3154715,7858,False
GOODS,4907281,1051,False
GOODS,4732777,763,False
GOODS,4330030,1113,False
GOODS,2367275,7999,False
GOODS,2119982,3855,False
GOODS,5358730,226,False
GOODS,407066,12395,False
GOODS,3052437,5472,False
GOODS,3175651,16802,False
GOODS,4041018,2388,False
GOODS,3489626,5048,False
GOODS,3783489,1378,False
GOODS,5220311,264,False
GOODS,3154689,1713,False
GOODS,1964770,20559,False
GOODS,4305739,1287,False
GOODS,4041531,2103,False
GOODS,4058398,5583,False
GOODS,4990662,1719,False
GOODS,5146273,1185,False
GOODS,3030665,4647,False
GOODS,5223183,344,False
GOODS,3154690,1583,False
GOODS,4327198,1046,False
GOODS,3489525,1155,False
GOODS,4330033,1301,False
GOODS,3438287,6096,False
GOODS,4907317,1949,False
GOODS,2774996,2462,False
GOODS,4327321,877,False
GOODS,3030682,9303,False
GOODS,4424992,1220,False
GOODS,2480137,7209,False
GOODS,4306128,749,False
GOODS,4730963,649,False
GOODS,2361832,5728,False
GOODS,4305953,996,False
GOODS,4995010,855,False
GOODS,5384934,113,False
GOODS,4108581,2229,False
GOODS,5016408,494,False
GOODS,4730953,1256,False
GOODS,5384935,114,False
GOODS,1812069,1812,False
GOODS,4907316,1534,False
GOODS,4730997,687,False
GOODS,4730987,592,False
GOODS,3052090,3340,False
GOODS,4305772,1435,False
GOODS,2322886,1653,False
GOODS,4995115,3614,False
GOODS,4363640,1026,False
GOODS,5358824,194,False
GOODS,2361829,1948,False
GOODS,2120464,2347,False
GOODS,3305118,844,False
GOODS,4594142,375,False
GOODS,1925442,2346,False
GOODS,5384973,87,False
GOODS,2322887,3026,False
GOODS,4330052,1141,False
GOODS,4041014,1189,False
GOODS,3052063,1608,False
GOODS,5220313,412,False
GOODS,5016409,665,False
GOODS,5385027,75,False
GOODS,2322837,9339,False
GOODS,2139144,27474,False
GOODS,4739871,551,False
GOODS,4330051,1863,False
GOODS,3255472,1556,False
GOODS,3783490,1621,False
GOODS,3030704,2349,False
GOODS,2552399,6962,False
GOODS,2510192,7284,False
GOODS,4934378,1025,False
GOODS,5384936,111,False
GOODS,3489523,739,False
GOODS,3052036,10583,False
GOODS,3037100,1756,False
GOODS,1852144,1377,False
GOODS,3614230,2290,False
GOODS,3274392,3063,False
GOODS,5358729,216,False
GOODS,3829998,552,False
GOODS,3783848,1423,False
GOODS,3479628,709,False
GOODS,3088138,1652,False
GOODS,2361831,1252,False
GOODS,1305450,2599,False
GOODS,4305628,810,False
GOODS,3783762,1000,False
GOODS,2322836,9718,False
GOODS,3154710,1221,False
GOODS,4041069,3698,False
GOODS,3284748,918,False
GOODS,2818892,2256,False
GOODS,1033848,2710,False
GOODS,4739860,582,False
GOODS,4314891,958,False
GOODS,3830017,911,False
GOODS,3052089,1369,False
GOODS,5385023,86,False
GOODS,5384977,51,False
GOODS,3052064,1020,False
GOODS,4730960,582,False
GOODS,3235079,992,False
GOODS,1958905,3751,False
GOODS,4995040,463,False
GOODS,1305386,4755,False
GOODS,4306118,683,False
GOODS,3154691,1384,False
GOODS,3030712,1712,False
GOODS,5384978,105,False
GOODS,4730994,442,False
GOODS,4363622,1572,False
GOODS,4041003,1954,False
GOODS,3175685,6125,False
GOODS,3479626,1098,False
GOODS,5068731,1858,False
GOODS,4305877,664,False
GOODS,4305642,461,False
GOODS,3783761,1154,False
GOODS,5384976,50,False
GOODS,2480237,4253,False
GOODS,4934381,646,False
GOODS,4730995,778,False
GOODS,4730988,643,False
GOODS,4327314,696,False
GOODS,5068734,393,False
GOODS,3052033,3121,False
GOODS,2361830,2132,False
GOODS,4702369,484,False
GOODS,4305956,1908,False
GOODS,3031561,2271,False
GOODS,3783779,681,False
GOODS,5384972,60,False
GOODS,3154692,968,False
GOODS,1852238,976,False
GOODS,1624044,7000,False
GOODS,4934379,784,False
GOODS,1925228,2871,False
GOODS,3037122,3795,False
GOODS,4907284,611,False
GOODS,5016411,638,False
GOODS,4702402,661,False
GOODS,4702401,838,False
GOODS,2509149,1612,False
GOODS,2120357,645,False
GOODS,4934377,1257,False
GOODS,4739968,837,False
GOODS,4739939,773,False
GOODS,3829999,482,False
GOODS,1145197,2835,False
GOODS,4702370,513,False
GOODS,3489622,2196,False
GOODS,5384870,56,False
GOODS,348145,990,False
GOODS,5068727,440,False
GOODS,4594140,341,False
GOODS,4995112,969,False
GOODS,5068735,423,False
GOODS,4327303,605,False
GOODS,3052057,1941,False
GOODS,4538564,532,False
GOODS,3284713,5457,False
GOODS,2510169,4234,False
GOODS,3815300,1058,False
GOODS,3438231,822,False
GOODS,3031567,1120,False
GOODS,2725337,694,False
GOODS,4538553,1121,False
GOODS,4730922,600,False
GOODS,4327210,1230,False
GOODS,2510194,1523,False
GOODS,4062165,1330,False
GOODS,3052434,470,False
GOODS,4305585,312,False
GOODS,4995113,521,False
GOODS,4740195,541,False
GOODS,3966563,619,False
GOODS,4934308,1203,False
GOODS,3783780,951,False
GOODS,4330042,542,False
GOODS,4330039,784,False
GOODS,4301140,868,False
GOODS,4108588,841,False
GOODS,1066105,4005,False
GOODS,3154713,4721,False
GOODS,4739937,488,False
GOODS,4041502,896,False
GOODS,4305756,866,False
GOODS,4330046,1170,False
GOODS,3783743,1240,False
GOODS,3030679,2382,False
GOODS,3823183,1002,False
GOODS,4327215,1270,False
GOODS,4305965,2261,False
GOODS,3235077,1199,False
GOODS,2509172,1520,False
GOODS,3784044,552,False
GOODS,5068729,409,False
GOODS,5068728,399,False
GOODS,4702307,560,False
GOODS,4041527,1188,False
GOODS,3489627,2803,False
GOODS,3847263,762,False
GOODS,4730930,694,False
GOODS,3052436,2305,False
GOODS,4305378,418,False
GOODS,4300486,813,False
GOODS,4934307,1115,False
GOODS,5384970,45,False
GOODS,2774998,3735,False
GOODS,2350515,1520,False
GOODS,4934328,454,False
GOODS,4305970,1108,False
GOODS,1925446,2134,False
GOODS,3614260,3550,False
GOODS,2799745,2665,False
GOODS,2537862,3898,False
GOODS,4305853,573,False
GOODS,4305982,357,False
GOODS,3829240,740,False
GOODS,3154651,1731,False
GOODS,3783778,771,False
GOODS,4730947,744,False
GOODS,4327316,422,False
GOODS,4041174,1426,False
GOODS,4041172,779,False
GOODS,3614227,1203,False
GOODS,3614226,2409,False
GOODS,2818894,3004,False
GOODS,3830016,839,False
GOODS,3591937,1821,False
GOODS,3255473,895,False
