goodsNo,goodsName,goodsLinkUrl,thumbnail,displayGenderText,isSoldOut,normalPrice,price,saleRate,brand,brandName,brandLinkUrl,reviewCount,reviewScore,isOptionVisible,isAd,adTooltip,plusDeliveryGuideText,infoLabelList,imageLabelList,clickTrackers,impressionTrackers,snap,score,isPlusDelivery,usedConditionGrade
4347271,[유튜버 PICK] 빈티지 워크 자켓_차콜,https://www.musinsa.com/products/4347271,https://image.msscdn.net/images/goods_img/20240820/4347271/4347271_17569580908087_500.jpg,공용,False,129000,87720,32,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,988,96,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
2702396,[유튜버 PICK] [하프집업 OR 풀집업] 워셔블 하찌니트_10 COLOR,https://www.musinsa.com/products/2702396,https://image.msscdn.net/images/goods_img/20220807/2702396/2702396_17578953823468_500.jpg,공용,False,69000,28900,58,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,23692,96,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5318976,스웨이드 바이커 자켓_브라운,https://www.musinsa.com/products/5318976,https://image.msscdn.net/images/goods_img/20250813/5318976/5318976_17570336895106_500.jpg,남성,False,189000,170100,10,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,14,98,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4502391,[유튜버 PICK] 울 (WOOL) 숏카라 블루종_블랙,https://www.musinsa.com/products/4502391,https://image.msscdn.net/images/goods_img/20241010/4502391/4502391_17574647705415_500.jpg,남성,False,159000,98580,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,99,98,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5349501,[유튜버 PICK] 플란넬 체크 셔츠_4 COLOR,https://www.musinsa.com/products/5349501,https://image.msscdn.net/images/goods_img/20250821/5349501/5349501_17585272754360_500.jpg,공용,False,59000,21010,64,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,10,100,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
2752807,울(WOOL) 바시티 자켓_블랙,https://www.musinsa.com/products/2752807,https://image.msscdn.net/images/goods_img/20220830/2752807/2752807_17574647088506_500.jpg,공용,False,159000,98580,38,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,1386,96,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5318956,가먼트다잉 후드집업_차콜,https://www.musinsa.com/products/5318956,https://image.msscdn.net/images/goods_img/20250813/5318956/5318956_17585891328509_500.jpg,남성,False,119000,107100,10,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,4,96,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4683069,빈티지 워크 자켓_올리브,https://www.musinsa.com/products/4683069,https://image.msscdn.net/images/goods_img/20241227/4683069/4683069_17436577285650_500.jpg,공용,False,129000,87720,32,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,54,96,True,False,,,"[{'code': 'COUPON', 'title': '쿠폰', 'color': ''}, {'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4348898,[유튜버 PICK] 워셔블 카라니트 풀집업_5 COLOR,https://www.musinsa.com/products/4348898,https://image.msscdn.net/images/goods_img/20240820/4348898/4348898_17573922224842_500.jpg,공용,False,79000,28900,63,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,137,96,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4709538,워셔블 카라니트 하프집업_4 COLOR,https://www.musinsa.com/products/4709538,https://image.msscdn.net/images/goods_img/20250110/4709538/4709538_17573921978659_500.jpg,공용,False,69000,28900,58,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,39,96,True,False,,,"[{'code': 'FREE_RETURN', 'title': '무료반품', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
