likeType,relationId,count,liked
GOODS,3046279,14280,False
GOODS,3046316,8569,False
GOODS,3046300,13368,False
GOODS,4693591,4923,False
GOODS,5392266,1141,False
GOODS,4262843,9794,False
GOODS,5463486,408,False
GOODS,5463485,622,False
GOODS,4261761,8789,False
GOODS,3581743,11218,False
GOODS,5441759,1033,False
GOODS,5392259,633,False
GOODS,4262833,3644,False
GOODS,2857065,15713,False
GOODS,5283173,1233,False
GOODS,5283211,902,False
GOODS,3773719,5130,False
GOODS,5283166,765,False
GOODS,4736344,1282,False
GOODS,5392241,713,False
GOODS,5283169,1479,False
GOODS,1623333,19752,False
GOODS,5283258,576,False
GOODS,5283245,856,False
GOODS,4423419,1886,False
GOODS,5283190,845,False
GOODS,4261735,2104,False
GOODS,4261900,4062,False
GOODS,4261377,1771,False
GOODS,4721695,1938,False
GOODS,4262829,1688,False
GOODS,5283165,736,False
GOODS,5469574,472,False
GOODS,5392231,537,False
GOODS,5306431,901,False
GOODS,4262827,1020,False
GOODS,5353687,1052,False
GOODS,5312365,484,False
GOODS,4423414,1108,False
GOODS,5441522,380,False
GOODS,2060994,14121,False
GOODS,2060993,4690,False
GOODS,4262830,3081,False
GOODS,5312858,1002,False
GOODS,5312899,368,False
GOODS,4423378,2227,False
GOODS,3459378,4106,False
GOODS,5312819,409,False
GOODS,5316168,483,False
GOODS,5312602,559,False
GOODS,3887394,2051,False
GOODS,5312798,535,False
GOODS,5312507,433,False
GOODS,5296571,372,False
GOODS,3792762,2593,False
GOODS,3060019,3524,False
GOODS,4262828,991,False
GOODS,5283208,1375,False
GOODS,1547899,22361,False
GOODS,3792520,2382,False
GOODS,5353688,665,False
GOODS,5312851,552,False
GOODS,5353691,252,False
GOODS,5312506,557,False
GOODS,5283194,370,False
GOODS,5370455,303,False
GOODS,3773703,3705,False
GOODS,1685348,5029,False
GOODS,5312350,319,False
GOODS,5469512,242,False
GOODS,5296613,341,False
GOODS,2349446,4742,False
GOODS,4736223,916,False
GOODS,5052197,797,False
GOODS,3601089,3575,False
GOODS,5353278,493,False
GOODS,5369863,254,False
GOODS,5312874,229,False
GOODS,4261908,1697,False
GOODS,2089169,6026,False
GOODS,2263704,2260,False
GOODS,5296590,298,False
GOODS,5469524,281,False
GOODS,1667891,5685,False
GOODS,3060021,1650,False
GOODS,4262818,3201,False
GOODS,4262928,1306,False
GOODS,3459852,1841,False
GOODS,3050518,3719,False
GOODS,5370214,251,False
GOODS,3051241,908,False
GOODS,4262936,1644,False
GOODS,5312876,324,False
GOODS,5353187,268,False
GOODS,5312844,304,False
GOODS,3459868,3667,False
GOODS,5408012,339,False
GOODS,3807591,2468,False
GOODS,4261902,917,False
GOODS,4262820,2067,False
GOODS,4423364,933,False
GOODS,4262841,2677,False
GOODS,4721708,583,False
GOODS,2089168,2466,False
GOODS,4261901,1044,False
GOODS,5370219,249,False
GOODS,5370407,179,False
GOODS,4721701,1010,False
GOODS,4641449,544,False
GOODS,2263758,5003,False
GOODS,5441657,211,False
GOODS,5353684,305,False
GOODS,4721705,521,False
GOODS,4423369,876,False
GOODS,2691620,2952,False
