goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab,likeType,relationId,count,liked
3046279,SELVEDGE DENIM 2ND JACKET_INDIGO,공용,159000,143100,,10,,False,outstanding,2122,96,0,GOODS,3046279,14280,False
3046316,[MUT lab] 40S SELVEDGE STRAIGHT PANTS_INDIGO,공용,128000,115200,,10,,False,outstanding,1547,96,0,GOODS,3046316,8569,False
3046300,30S CINCH BACK SELVEDGE WIDE PANTS_INDIGO,공용,128000,115200,,10,,False,outstanding,2974,98,0,GOODS,3046300,13368,False
4693591,[MUT lab] SELVEDGE DENIM 1ST JACKET_INDIGO,남성,159000,143100,,10,,False,outstanding,485,98,0,GOODS,4693591,4923,False
5392266,TEA-CORE LEATHER W.W. II 1ST JACKET_BLACK,남성,388000,388000,,0,,False,outstanding,33,98,0,GOODS,5392266,1141,False
4262843,W.W. II SELVEDGE DENIM 1ST JACKET_INDIGO,남성,159000,143100,,10,,False,outstanding,860,98,0,GOODS,4262843,9794,False
5463486,[MUT lab] MOLESKIN FRENCH WORK JACKET_BLACK,남성,154000,130900,,15,,False,outstanding,26,96,0,GOODS,5463486,408,False
5463485,[MUT lab] MOLESKIN FRENCH WORK JACKET_D.NAVY,남성,154000,130900,,15,,False,outstanding,21,98,0,GOODS,5463485,622,False
4261761,W.W. II SELVEDGE STRAIGHT PANTS_INDIGO,남성,128000,115200,,10,,False,outstanding,1082,98,0,GOODS,4261761,8789,False
3581743,[2PACK]VINTAGE WASHING LONG SLEEVE TEE_VINTAGE OLIVE/VINTAGE CHARCOAL,공용,96000,86400,,10,,False,outstanding,3338,98,0,GOODS,3581743,11218,False
5441759,MA-1 FLIGHT JACKET(WOOL INSULATION)_SAGE GREEN,남성,264000,237600,,10,,False,outstanding,9,100,0,GOODS,5441759,1033,False
5392259,TEA-CORE LEATHER W.W. II 1ST JACKET_VINTAGE BLACK,남성,398000,398000,,0,,False,outstanding,10,100,0,GOODS,5392259,633,False
4262833,M-65 FISHTAIL PARKA_OLIVE,남성,268000,241200,,10,,False,outstanding,248,98,0,GOODS,4262833,3644,False
2857065,MOUNTAIN DOWN PARKA_OLIVE GREEN,남성,248000,223200,,10,,False,outstanding,3655,98,0,GOODS,2857065,15713,False
5283173,50S WESTERN RIDER SELVEDGE JACKET_INDIGO,남성,149000,134100,,10,,False,outstanding,36,98,0,GOODS,5283173,1233,False
5283211,40S SELVEDGE STRAIGHT PANTS_BLACK,남성,128000,115200,,10,,False,outstanding,47,100,0,GOODS,5283211,902,False
3773719,LAMBSWOOL ROUND NECK CARDIGAN_KHAKI MELANGE,공용,129000,116100,,10,,False,outstanding,1655,96,0,GOODS,3773719,5130,False
5283166,50S RIDERS SELVEDGE ZIP PANTS_INDIGO,남성,128000,115200,,10,,False,outstanding,21,98,0,GOODS,5283166,765,False
4736344,2ND POPLIN JUNGLE FATIGUE JACKET_OLIVE,남성,124000,111600,,10,,False,outstanding,199,96,0,GOODS,4736344,1282,False
