goodsNo,goodsName,displayGenderText,normalPrice,price,saleRate,brand,reviewCount,reviewScore,isPick
5275962,[패션플래닛X드로우핏] 세미 와이드 치노 팬츠 [6color],남성,66000,59400,10,drawfit,293,98,0
1760177,도브 울 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,1587,98,0
5384864,핀 스트라이프 크롭 블루종 자켓 [DARK NAVY],남성,174000,139200,20,drawfit,65,100,0
5290700,[서강준PICK] 레이어 미니멀 스웨이드 자켓 [BROWN],남성,174000,139200,20,drawfit,20,98,1
5384863,핀 스트라이프 크롭 블루종 자켓 [CHARCOAL],남성,174000,139200,20,drawfit,17,98,0
3783694,[서강준PICK] 인시전 레더 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,411,98,1
709191,[서강준PICK] 오버사이즈 도브 울 블레이저 [BLACK],남성,159000,127200,20,drawfit,2486,96,1
4702387,[서강준PICK] 어베인 울 크롭 니트 가디건 [MELANGE GREY],남성,69000,62100,10,drawfit,558,96,1
5290694,[서강준PICK] 소프트 울 크롭 라운드 니트 [4color],남성,55000,49500,10,drawfit,29,98,1
4327239,코튼 와플 헨리넥 티셔츠 [BLACK],남성,36000,32400,10,drawfit,367,96,0
5384865,[서강준PICK] 워싱 릴렉스 데님 트러커 자켓 [BLACK INDIGO],남성,124000,99200,20,drawfit,11,96,1
2098325,프리미어 퓨어 캐시미어 발마칸 코트 [BLACK],남성,308000,246400,20,drawfit,6973,98,0
5290721,[서강준PICK] 울 헤어리 노르딕 라운드 가디건 [M.CHARCOAL],남성,77000,69300,10,drawfit,22,100,1
4702365,크레센트 스웨이드 자켓 [CHESTNUT BROWN],남성,174000,139200,20,drawfit,83,100,0
5358816,[서강준PICK] 유주얼 세미 와이드 데님 팬츠 [RAW BLACK],남성,66000,59400,10,drawfit,8,100,1
4073506,[오정규X드로우핏] 린넨 컴포터블 오버핏 셔츠 [5COLORS],남성,59000,42480,28,drawfit,1666,94,0
4990661,[유튜버 PICK] 와플 헨리넥 하프 티셔츠 [BLACK],남성,34000,30600,10,drawfit,702,96,1
4702360,페이드 다잉 코튼 블루종 자켓 [CHARCOAL],남성,174000,139200,20,drawfit,232,98,0
3840002,[서강준PICK] 슬림 모던 타이 [3COLORS],남성,25000,22500,10,drawfit,721,98,1
4702385,어베인 울 크롭 니트 가디건 [BLACK],남성,69000,62100,10,drawfit,173,96,0
2119984,와이드 밴딩 치노 팬츠 [BEIGE],남성,66000,39600,40,drawfit,7492,96,0
4702333,도브 울 크롭 미니멀 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,132,96,0
3489530,[유튜버 PICK] 유주얼 세미 와이드 데님 팬츠 [BLUE],남성,66000,59400,10,drawfit,1131,98,1
5384868,워시드 오버 데님 후드 집업 자켓 [VINTAGE BROWN],남성,96000,76800,20,drawfit,9,94,0
3783677,헤리티지 헌팅 블루종 자켓 [KHAKI],남성,174000,139200,20,drawfit,1043,98,0
3438294,바이커 싱글 스웨이드 자켓 [BLACK],남성,174000,139200,20,drawfit,355,98,0
3438295,바이커 싱글 레더 자켓 [BLACK],남성,174000,139200,20,drawfit,137,98,0
3489623,호보 레더 크로스백 [BLACK],남성,82000,65600,20,drawfit,2892,98,0
3274287,카고 파라슈트 치노 팬츠 [KHAKI],남성,74000,51800,30,drawfit,873,98,0
4327331,에반 옴브레 체크 셔츠 [BLACK],남성,55000,49500,10,drawfit,466,98,0
4702388,어베인 울 크롭 니트 가디건 [RED],남성,69000,62100,10,drawfit,238,96,0
5363204,도브 울 하이드 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,4,100,0
3783687,커버렉 스웨이드 블루종 자켓 [BROWN],남성,174000,139200,20,drawfit,366,98,0
4327248,코튼 와플 헨리넥 티셔츠 [IVORY],남성,36000,32400,10,drawfit,241,96,0
5290699,레이어 미니멀 스웨이드 자켓 [BLACK],남성,174000,139200,20,drawfit,4,100,0
4995109,[DRAW FIT X DAILY ROOM] 로버스트 버뮤다 와이드 데님 팬츠 [BLACK],남성,47000,37600,20,drawfit,472,98,0
5385029,커버 스웨이드 드룹 크로스백 [BROWN],남성,74000,66600,10,drawfit,3,94,0
4041033,[유튜버 PICK] 실켓 코튼 U넥 티셔츠 [WHITE],남성,33000,29700,10,drawfit,726,98,1
5358732,덴버 투 포켓 체크 셔츠 [DARK BLUE],남성,55000,49500,10,drawfit,16,98,0
3052416,호보 레더 메신저백 [BLACK],공용,77000,69300,10,drawfit,659,98,0
3840003,원터치 솔리드 컴피 타이 [3COLORS],남성,25000,22500,10,drawfit,708,98,0
5358822,세미 와이드 트위스트 카치온 팬츠 [BROWN],남성,66000,46200,30,drawfit,5,100,0
4730935,스트라이프 티셔츠 [CHARCOAL],남성,37000,33300,10,drawfit,60,98,0
4305404,콘트라스트 워크 트러커 자켓 [D.GREY],남성,174000,139200,20,drawfit,454,98,0
5384937,울 헤어리 노르딕 크루넥 니트 [VINTAGE BROWN],남성,74000,66600,10,drawfit,13,90,0
5358823,[서강준PICK] 워싱 릴렉스 스트레이트 데님 팬츠 [BLACK INDIGO],남성,66000,59400,10,drawfit,3,94,1
3489531,유주얼 세미 와이드 데님 팬츠 [BLACK],남성,66000,59400,10,drawfit,535,98,0
5358821,세미 와이드 트위스트 카치온 팬츠 [BLACK],남성,66000,46200,30,drawfit,6,100,0
5385028,밴스 레더 크로스 토트백 [BLACK],남성,74000,66600,10,drawfit,1,100,0
5384933,어베인 울 크롭 니트 가디건 [BEIGE],남성,69000,62100,10,drawfit,10,100,0
4730912,리브드 헨리넥 티셔츠 [BLACK],남성,44000,39600,10,drawfit,61,90,0
3154647,[서강준PICK] 투턱 밴딩 와이드 슬랙스 [BLACK],남성,63000,49800,21,drawfit,2550,98,1
3274288,카고 파라슈트 치노 팬츠 [BLACK],남성,74000,66600,10,drawfit,362,96,0
5384938,울 헤어리 노르딕 크루넥 니트 [IVORY],남성,74000,66600,10,drawfit,11,98,0
4730921,리브드 헨리넥 티셔츠 [MELANGE],남성,44000,39600,10,drawfit,111,94,0
5384981,헤일 코튼 크롭 롱슬리브 티셔츠 [M.GREY],남성,35000,29750,15,drawfit,9,86,0
4702356,도브 울 크롭 컷팅 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,58,98,0
2139143,[서강준PICK] 터틀넥 니트 티셔츠 [9COLORS],남성,30000,23900,20,drawfit,8058,96,1
5358778,투 턱 와이드 핀 스트라이프 슬랙스 [CHARCOAL],남성,66000,59400,10,drawfit,3,100,0
4108579,[패션플래닛X드로우핏] 쿨링 릴렉스드 와이드 밴딩 팬츠 [BLACK],남성,59000,47200,20,drawfit,989,96,0
5384979,헤일 코튼 크롭 롱슬리브 티셔츠 [BLACK],남성,35000,29750,15,drawfit,11,96,0
5358780,도브 울 릴렉스 스트레이트 슬랙스 [BLACK],남성,62000,55800,10,drawfit,5,88,0
5363206,도브 울 하이드 블루종 자켓 [CHESTNUT BROWN],남성,174000,139200,20,drawfit,5,100,0
5358820,[서강준PICK] 프렌치 플레어 데님 팬츠 [FADE BLUE],남성,66000,59400,10,drawfit,12,94,1
5384980,헤일 코튼 크롭 롱슬리브 티셔츠 [WHITE],남성,35000,29750,15,drawfit,9,96,0
2422235,밴딩 테이퍼드 슬랙스 [BLACK],남성,60000,49800,17,drawfit,7516,98,0
1456515,멀티 스트랩 미니 백 [MATT BLACK],공용,55000,49500,10,drawfit,10630,98,0
2367276,와이드 밴딩 치노 팬츠 [L.BEIGE],남성,66000,59400,10,drawfit,1820,96,0
4994883,아크 세미 벌룬 치노 팬츠 [BEIGE],남성,66000,59400,10,drawfit,68,96,0
5384866,워싱 릴렉스 데님 트러커 자켓 [DARK BLUE],남성,124000,99200,20,drawfit,3,100,0
3783686,커버렉 스웨이드 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,221,98,0
4990664,와플 헨리넥 하프 티셔츠 [MELANGE],남성,34000,30600,10,drawfit,391,96,0
2422238,밴딩 와이드 슬랙스 [BLACK],남성,60000,49800,17,drawfit,5477,96,0
5384983,헤일 코튼 크롭 피그먼트 롱슬리브 티셔츠 [CHARCOAL],남성,35000,31500,10,drawfit,3,94,0
4702371,플루이드 싱글 스웨이드 블레이저 [CHESTNUT BROWN],남성,174000,156600,10,drawfit,24,98,0
2510196,[유튜버 PICK] 오버사이즈 풀오버 카라 반팔 셔츠 [BLACK],남성,55000,33000,40,drawfit,2585,98,1
3438298,워시드 바이커 데님 자켓 [BLACK],남성,174000,139200,20,drawfit,149,96,0
5358818,프렌치 플레어 데님 팬츠 [BLACK INDIGO],남성,66000,59400,10,drawfit,6,100,0
4702320,릴렉스드 오피스 CN 블레이저 [BLACK],남성,159000,127200,20,drawfit,15,98,0
2139132,[서강준PICK] 모크넥 니트 티셔츠 [9COLORS],남성,30000,23900,20,drawfit,11858,96,1
407074,리에디션 스웨이드 자켓 [GREY],남성,168000,134400,20,drawfit,1067,98,0
3783678,헤리티지 헌팅 블루종 자켓 [BLACK],남성,174000,139200,20,drawfit,362,96,0
4995108,[DRAW FIT X DAILY ROOM] 로버스트 버뮤다 와이드 데님 팬츠 [BLUE],남성,47000,37600,20,drawfit,577,98,0
5358779,아크 세미 벌룬 치노 팬츠 [BROWN],남성,66000,59400,10,drawfit,4,100,0
5290720,울 헤어리 노르딕 라운드 가디건 [BLACK],남성,77000,69300,10,drawfit,2,100,0
2480238,[서강준PICK] 밴딩 와이드 슬랙스 [GREY],남성,60000,49800,17,drawfit,2501,98,1
4732776,빈티지 워시드 데님 셔츠 [VINTAGE BLUE],남성,66000,59400,10,drawfit,78,96,0
3479101,오버사이즈 울 라운드 가디건 [NAVY],남성,85000,76500,10,drawfit,464,98,0
4907283,스트라이프 하프 티셔츠 [WHITE],남성,36000,32400,10,drawfit,102,98,0
2315115,오버사이즈 도브 울 블레이저 [D.BROWN],남성,159000,127200,20,drawfit,1139,98,0
4305674,스웨이드 패널 트러커 집업 자켓 [BROWN],남성,174000,139200,20,drawfit,104,98,0
5384869,워시드 오버 데님 후드 집업 자켓 [LOW BLACK],남성,96000,76800,20,drawfit,3,100,0
5358777,투 턱 와이드 핀 스트라이프 슬랙스 [BLACK],남성,66000,59400,10,drawfit,5,96,0
5375943,원터치 스트라이프 컴피 타이 [2COLORS],남성,25000,22500,10,drawfit,6,96,0
5358731,덴버 투 포켓 체크 셔츠 [BROWN],남성,55000,49500,10,drawfit,9,98,0
1145196,유주얼 뉴 스트레이트 데님 팬츠 [BLACK],남성,66000,59400,10,drawfit,2999,92,0
