goodsNo,goodsName,displayGenderText,isSoldOut,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,brandName,brandLinkUrl,reviewCount,reviewScore,isOptionVisible,isAd,adTooltip,plusDeliveryGuideText,goodsLinkUrl,thumbnail,infoLabelList,imageLabelList,score,usedConditionGrade,likeCount
4292080,[SET] [배색ver.] 2-WAY 배색 테크 숏 자켓 셋업_차콜,공용,False,112900,83200,,26,,True,codegraphy,코드그라피,https://www.musinsa.com/brand/codegraphy,52,98,True,False,,,https://www.musinsa.com/products/4292080,https://image.msscdn.net/images/goods_img/20240802/4292080/4292080_17593674221315_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,328000.0
3998467,BASIC CREW NECK T-SHIRT_MINT,남성,False,34000,17000,,50,,False,outstanding,아웃스탠딩,https://www.musinsa.com/brand/outstanding,46,98,True,False,,,https://www.musinsa.com/products/3998467,https://image.msscdn.net/images/goods_img/20240327/3998467/3998467_17134907130979_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]",[],0.0,,278000.0
4041033,[유튜버 PICK] 실켓 코튼 U넥 티셔츠 [WHITE],남성,False,33000,29700,,10,,False,drawfit,드로우핏,https://www.musinsa.com/brand/drawfit,735,98,True,False,,,https://www.musinsa.com/products/4041033,https://image.msscdn.net/images/goods_img/20240409/4041033/4041033_17134240955780_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,229000.0
4301116,[유튜버 PICK] 가먼트워싱 카펜터 팬츠_베이지,남성,False,59000,33040,,44,,False,kiimuir,키뮤어,https://www.musinsa.com/brand/kiimuir,761,96,True,False,,,https://www.musinsa.com/products/4301116,https://image.msscdn.net/images/goods_img/20240806/4301116/4301116_17370727413295_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]",[],0.0,,177000.0
4873756,[유튜버 PICK] 차르르 스트라이프 헨리넥 하프 니트 아이보리,남성,False,95000,85500,,10,,False,lmood,엘무드,https://www.musinsa.com/brand/lmood,63,98,True,False,,내일(금) 도착보장,https://www.musinsa.com/products/4873756,https://image.msscdn.net/images/goods_img/20250310/4873756/4873756_17452218571324_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,169000.0
3188656,투톤 오픈카라 하프 니트 - 크림,남성,False,80000,32300,,60,,False,lemard,르마드,https://www.musinsa.com/brand/lemard,221,98,True,False,,,https://www.musinsa.com/products/3188656,https://image.msscdn.net/images/goods_img/20230329/3188656/3188656_16861154551258_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}, {'code': 'OUTLET', 'title': '아울렛', 'color': ''}]",[],0.0,,133000.0
3435748,[엄태구 착용] Curved Wide Jeans DCPT033Blue,공용,False,62000,55800,,10,,False,decet,데케트,https://www.musinsa.com/brand/decet,929,98,True,False,,,https://www.musinsa.com/products/3435748,https://image.msscdn.net/images/goods_img/20230731/3435748/3435748_17406379591085_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,133000.0
3942278,플랩 시어 윈드브레이커 자켓 [4 color]_SEJK010,공용,False,89000,59800,,33,,False,secondmonolgue,세컨모놀로그,https://www.musinsa.com/brand/secondmonolgue,242,94,True,False,,,https://www.musinsa.com/products/3942278,https://image.msscdn.net/images/goods_img/20240312/3942278/3942278_17550780520363_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,128000.0
3363960,[유튜버 PICK] 볼드 앵클 레인부츠 2 COLOR + 방수 주머니,공용,False,150000,119000,,21,,False,doffjason,도프제이슨,https://www.musinsa.com/brand/doffjason,1278,94,True,False,,,https://www.musinsa.com/products/3363960,https://image.msscdn.net/images/goods_img/20230614/3363960/3363960_17496907808728_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,125000.0
3390508,87-STAN009  [리뉴얼] 스탠다드 블루종 스웨이드 자켓 블랙,공용,False,133000,39900,,70,,False,standarderror,스탠다드에러,https://www.musinsa.com/brand/standarderror,24018,96,True,False,,,https://www.musinsa.com/products/3390508,https://image.msscdn.net/images/goods_img/20230630/3390508/3390508_17551524634252_500.jpg,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]",[],0.0,,118000.0
