goodsNo,goodsName,goodsLinkUrl,thumbnail,displayGenderText,isSoldOut,normalPrice,price,saleRate,brand,brandName,brandLinkUrl,reviewCount,reviewScore,isOptionVisible,isAd,adTooltip,plusDeliveryGuideText,infoLabelList,imageLabelList,clickTrackers,impressionTrackers,snap,score,isPlusDelivery,usedConditionGrade
5301310,[데일리룸 X 시즈] 아카이브 코튼 크롭 니트 가디건 [ 8 COLOR ],https://www.musinsa.com/products/5301310,https://image.msscdn.net/images/goods_img/20250807/5301310/5301310_17560981792024_500.jpg,남성,False,99000,60390,39,seez,시즈,https://www.musinsa.com/brand/seez,242,98,True,False,,,"[{'code': 'PERIOD_CAMPAIGN', 'title': '무신사에디션', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4711529,[데일리룸 X 시즈] 오디너리 크롭 스트라이프 셔츠 [WHITE] 단품/SET,https://www.musinsa.com/products/4711529,https://image.msscdn.net/images/goods_img/20250110/4711529/4711529_17373584397312_500.jpg,남성,False,74000,59200,20,seez,시즈,https://www.musinsa.com/brand/seez,2222,98,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5301341,[데일리룸 X 시즈] 벌룬 레그 밀 데님 카고 팬츠 [인디고],https://www.musinsa.com/products/5301341,https://image.msscdn.net/images/goods_img/20250807/5301341/5301341_17556640448489_500.jpg,남성,False,99000,79200,20,seez,시즈,https://www.musinsa.com/brand/seez,34,100,True,False,,,"[{'code': 'PERIOD_CAMPAIGN', 'title': '무신사에디션', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5301340,[데일리룸 X 시즈] 벌룬 레그 밀 데님 카고 팬츠 [미드 블루],https://www.musinsa.com/products/5301340,https://image.msscdn.net/images/goods_img/20250807/5301340/5301340_17556641043093_500.jpg,남성,False,99000,79200,20,seez,시즈,https://www.musinsa.com/brand/seez,36,98,True,False,,,"[{'code': 'PERIOD_CAMPAIGN', 'title': '무신사에디션', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4711530,[데일리룸 X 시즈] 멀티 레일 크롭 스트라이프 셔츠 [WHITE] 단품/SET,https://www.musinsa.com/products/4711530,https://image.msscdn.net/images/goods_img/20250110/4711530/4711530_17373570169020_500.jpg,남성,False,78000,62400,20,seez,시즈,https://www.musinsa.com/brand/seez,365,94,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5397419,[데릭 X 시즈] 모먼트 세미 크롭 코튼 셔츠 [ 5 COLOR ],https://www.musinsa.com/products/5397419,https://image.msscdn.net/images/goods_img/20250903/5397419/5397419_17573126539233_500.jpg,남성,False,69000,55200,20,seez,시즈,https://www.musinsa.com/brand/seez,17,98,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5065531,[데일리룸  X 시즈] 오디너리 크롭 스트라이프 하프 셔츠 [WHITE] 단품/SET,https://www.musinsa.com/products/5065531,https://image.msscdn.net/images/goods_img/20250424/5065531/5065531_17467661196551_500.jpg,남성,False,71000,56800,20,seez,시즈,https://www.musinsa.com/brand/seez,543,98,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
4711493,미니멀 리파인드 울 블루종 자켓 [BLACK],https://www.musinsa.com/products/4711493,https://image.msscdn.net/images/goods_img/20250110/4711493/4711493_17367441778925_500.jpg,남성,False,190000,171000,10,seez,시즈,https://www.musinsa.com/brand/seez,14,100,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5301339,[데일리룸 X 시즈] 벌룬 레그 밀 데님 카고 팬츠 [워시드 블랙],https://www.musinsa.com/products/5301339,https://image.msscdn.net/images/goods_img/20250807/5301339/5301339_17556641534432_500.jpg,남성,False,99000,79200,20,seez,시즈,https://www.musinsa.com/brand/seez,13,100,True,False,,,"[{'code': 'PERIOD_CAMPAIGN', 'title': '무신사에디션', 'color': ''}, {'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
5397420,[데릭 X 시즈] 벨티드 투 턱 와이드 슬랙스 [ 2 COLOR ],https://www.musinsa.com/products/5397420,https://image.msscdn.net/images/goods_img/20250903/5397420/5397420_17573245519291_500.jpg,남성,False,86000,68800,20,seez,시즈,https://www.musinsa.com/brand/seez,6,100,True,False,,,"[{'code': 'EXCLUSIVE', 'title': '단독', 'color': ''}]","[{'code': 'BIG_CAMPAIGN', 'title': '추석빅세일', 'color': 'FFA800'}]",[],[],,0.0,False,
