likeType,relationId,count,liked
GOODS,3390508,113481,False
GOODS,4227437,34506,False
GOODS,3390511,77146,False
GOODS,5151941,2480,False
GOODS,3902778,39775,False
GOODS,5278213,1205,False
GOODS,5092924,610,False
GOODS,4227441,18760,False
GOODS,5278209,544,False
GOODS,4482435,3653,False
GOODS,3902775,16566,False
GOODS,4227448,12747,False
GOODS,5377308,521,False
GOODS,5102804,672,False
GOODS,3902776,10833,False
GOODS,5278189,553,False
GOODS,4227424,4607,False
GOODS,5278159,616,False
GOODS,4227440,9733,False
GOODS,5278249,261,False
GOODS,5102884,430,False
GOODS,5278267,411,False
GOODS,4673166,5630,False
GOODS,5278246,284,False
GOODS,5278162,196,False
GOODS,4673165,3145,False
GOODS,4227423,4889,False
GOODS,4673161,2072,False
GOODS,5278132,249,False
GOODS,3390510,9581,False
GOODS,4227449,5326,False
GOODS,4673170,1061,False
GOODS,4227438,1731,False
GOODS,4227444,4558,False
GOODS,4227453,4221,False
GOODS,4482547,3213,False
GOODS,4482444,4472,False
GOODS,3390509,11650,False
GOODS,4710013,2788,False
GOODS,4227425,1836,False
GOODS,5278260,149,False
GOODS,4673183,1076,False
GOODS,4658037,5416,False
GOODS,4710009,1469,False
GOODS,3390496,9783,False
GOODS,4673181,913,False
GOODS,4227450,3117,False
GOODS,4710010,1135,False
GOODS,4710011,958,False
GOODS,4709998,1678,False
GOODS,4227433,1779,False
GOODS,4710014,1626,False
GOODS,5087052,5996,False
GOODS,4227389,15090,False
GOODS,5278148,123,False
GOODS,4227434,4467,False
GOODS,3902800,8726,False
GOODS,4482470,637,False
GOODS,5278233,118,False
GOODS,4227436,2535,False
GOODS,4482434,388,False
GOODS,4227456,1491,False
GOODS,4661190,205,False
GOODS,4227442,1402,False
GOODS,4482469,974,False
GOODS,4482466,531,False
GOODS,4710012,590,False
GOODS,3390497,5553,False
GOODS,4482457,409,False
GOODS,4673168,1538,False
GOODS,4227426,1760,False
GOODS,4482433,442,False
GOODS,4482462,515,False
GOODS,4482482,164,False
GOODS,4227422,1498,False
GOODS,5278195,112,False
GOODS,4227430,767,False
GOODS,4658040,1848,False
GOODS,4709999,352,False
GOODS,4227428,1461,False
GOODS,4673182,948,False
GOODS,4661196,959,False
GOODS,4227452,1831,False
GOODS,4568786,501,False
GOODS,4482461,1018,False
GOODS,4227455,1236,False
GOODS,4673178,850,False
GOODS,5229948,77,False
GOODS,4227435,722,False
GOODS,4482452,490,False
GOODS,3902799,2427,False
GOODS,4482450,737,False
GOODS,4227451,2072,False
GOODS,4710000,363,False
GOODS,4673176,563,False
GOODS,4482443,601,False
GOODS,4568841,584,False
GOODS,4227439,896,False
GOODS,4673172,558,False
GOODS,5259812,27,False
GOODS,4668656,142,False
GOODS,3390526,4121,False
GOODS,4948179,618,False
GOODS,3390545,456,False
GOODS,4658039,1079,False
GOODS,4265350,620,False
GOODS,4227454,1571,False
GOODS,4482451,239,False
GOODS,4482529,145,False
